Timestamp,Bitcoin,Ether
2017-04-02,1099.169125,48.55
2017-04-03,1141.813,44.13
2017-04-04,1141.6003625,44.43
2017-04-05,1133.0793142857142,44.9
2017-04-06,1196.3079375,43.23
2017-04-07,1190.45425,42.31
2017-04-08,1181.1498375,44.37
2017-04-09,1208.8005,43.72
2017-04-10,1207.744875,43.74
2017-04-11,1226.6170375,43.74
2017-04-12,1218.92205,46.38
2017-04-13,1180.0237125,49.97
2017-04-14,1185.2600571428572,47.32
2017-04-15,1184.8806714285713,48.89
2017-04-16,1186.9274125,48.22
2017-04-17,1205.634875,47.94
2017-04-18,1216.1867428571427,49.88
2017-04-19,1217.9300875,47.88
2017-04-20,1241.686325,49.36
2017-04-21,1258.3614125,48.27
2017-04-22,1261.311225,48.41
2017-04-23,1257.9881125,48.75
2017-04-24,1262.902775,49.94
2017-04-25,1279.4146875,50.09
2017-04-26,1309.109875,53.28
2017-04-27,1345.3539125,63.14
2017-04-28,1331.2944285714286,72.42
2017-04-29,1334.9790375,69.83
2017-04-30,1353.0045,79.83
2017-05-01,1417.1728125,77.53
2017-05-02,1452.0762875,77.25
2017-05-03,1507.5768571428573,80.37
2017-05-04,1508.292125,94.55
2017-05-05,1533.3350714285714,90.79
2017-05-06,1560.4102,94.82
2017-05-07,1535.8684285714285,90.46
2017-05-08,1640.619225,88.39
2017-05-09,1721.2849714285715,86.27
2017-05-10,1762.88625,87.83
2017-05-11,1820.9905625,88.2
2017-05-12,1720.4785,85.15
2017-05-13,1771.9200125,87.96
2017-05-14,1776.3165,88.72
2017-05-15,1723.1269375,90.32
2017-05-16,1739.031975,87.8
2017-05-17,1807.4850625,86.98
2017-05-18,1899.0828875,95.88
2017-05-19,1961.5204875,124.38
2017-05-20,2052.9097875,123.06
2017-05-21,2046.5344625,148.0
2017-05-22,2090.6623125,160.39
2017-05-23,2287.7102875,169.5
2017-05-24,2379.1938333333333,193.03
2017-05-25,2387.206285714285,177.33
2017-05-26,2211.976857142857,162.83
2017-05-27,2014.0529625,156.63
2017-05-28,2192.9808,172.86
2017-05-29,2275.9307,194.17
2017-05-30,2239.2053428571426,228.58
2017-05-31,2285.9339142857143,228.64
2017-06-01,2399.242671428572,220.7
2017-06-02,2446.142414285714,222.04
2017-06-03,2525.76515847,224.3
2017-06-04,2516.173142857143,244.96
2017-06-05,2698.3138125,247.75
2017-06-06,2883.313696637142,264.26
2017-06-07,2664.9208625,255.77
2017-06-08,2792.9991875,259.41
2017-06-09,2827.4913,279.11
2017-06-10,2845.372857142857,335.95
2017-06-11,2961.8296125,339.68
2017-06-12,2657.6750625,394.66
2017-06-13,2748.185085714286,388.09
2017-06-14,2447.0415625,343.84
2017-06-15,2442.48025,344.68
2017-06-16,2464.9598142857144,353.61
2017-06-17,2665.927,368.1
2017-06-18,2507.389252144286,351.53
2017-06-19,2617.2102625,358.2
2017-06-20,2754.97825,350.53
2017-06-21,2671.04325,325.3
2017-06-22,2727.2880125,320.97
2017-06-23,2710.4122857142856,326.85
2017-06-24,2589.1648875,304.54
2017-06-25,2512.366285714285,279.36
2017-06-26,2436.4510571428573,253.68
2017-06-27,2517.9031142857143,286.14
2017-06-28,2585.349185714286,315.86
2017-06-29,2544.414475,292.9
2017-06-30,2477.641375,280.68
2017-07-01,2434.0778625,261.0
2017-07-02,2501.191342857143,283.99
2017-07-03,2561.2254285714293,276.41
2017-07-04,2599.7298375,269.05
2017-07-05,2619.1875030042856,266.0
2017-07-06,2609.96775,265.88
2017-07-07,2491.2012142857143,240.94
2017-07-08,2562.1306625,245.67
2017-07-09,2536.2389375,237.72
2017-07-10,2366.1701428571428,205.76
2017-07-11,2369.8621285714285,190.55
2017-07-12,2385.748571428572,224.15
2017-07-13,2354.7834166666667,205.41
2017-07-14,2190.947833333333,197.14
2017-07-15,2058.9956,169.1
2017-07-16,1931.2143,155.42
2017-07-17,2176.6234875,189.97
2017-07-18,2320.12225,227.09
2017-07-19,2264.7657,194.41
2017-07-20,2898.1884166666664,226.33
2017-07-21,2682.1953625,216.33
2017-07-22,2807.609857142857,230.47
2017-07-23,2725.549716666667,228.32
2017-07-24,2751.821028571429,225.48
2017-07-25,2560.9979166666667,203.59
2017-07-26,2495.028585714286,202.88
2017-07-27,2647.625,202.93
2017-07-28,2781.636583333333,191.21
2017-07-29,2722.512785714286,206.14
2017-07-30,2745.9554166666658,196.78
2017-07-31,2866.431666666667,201.33
2017-08-01,2710.4130666666665,225.9
2017-08-02,2693.6339833333336,218.12
2017-08-03,2794.117716666666,224.39
2017-08-04,2873.851083333333,220.6
2017-08-05,3218.115016666666,253.09
2017-08-06,3252.5625333333332,264.56
2017-08-07,3407.2268333333336,269.94
2017-08-08,3457.374333333333,296.51
2017-08-09,3357.326316666667,295.28
2017-08-10,3424.4042000000004,298.28
2017-08-11,3632.506666666666,309.32
2017-08-12,3852.802914285715,308.02
2017-08-13,4125.54802,296.62
2017-08-14,4282.992,299.16
2017-08-15,4217.028328571429,286.52
2017-08-16,4360.876871428572,301.38
2017-08-17,4328.725716666667,300.3
2017-08-18,4130.440066666667,292.62
2017-08-19,4222.662214285714,293.02
2017-08-20,4157.958033333333,298.2
2017-08-21,4043.722,321.85
2017-08-22,4082.180983333333,313.37
2017-08-23,4174.95,317.4
2017-08-24,4340.316716666667,325.28
2017-08-25,4363.05445,330.06
2017-08-26,4360.5133166666665,332.86
2017-08-27,4354.308333333333,347.88
2017-08-28,4391.673516666667,347.66
2017-08-29,4607.98545,372.35
2017-08-30,4594.98785,383.86
2017-08-31,4748.255,388.33
2017-09-01,4911.740016666667,391.42
2017-09-02,4580.3874799999985,351.03
2017-09-03,4648.159983333334,352.45
2017-09-04,4344.0983166666665,303.7
2017-09-05,4488.720139999999,317.94
2017-09-06,4641.822016666666,338.92
2017-09-07,4654.658500000001,335.37
2017-09-08,4310.750183333334,306.72
2017-09-09,4375.559520000001,303.79
2017-09-10,4329.955,299.21
2017-09-11,4248.090016666666,297.95
2017-09-12,4219.036616666667,294.1
2017-09-13,3961.271266666666,275.84
2017-09-14,3319.63,223.14
2017-09-15,3774.2652833333336,259.57
2017-09-16,3763.6260399999996,254.49
2017-09-17,3746.0607833333333,258.4
2017-09-18,4093.316666666667,297.53
2017-09-19,3943.413333333333,283.0
2017-09-20,3977.561666666666,283.56
2017-09-21,3658.8981833333332,257.77
2017-09-22,3637.50255,262.94
2017-09-23,3776.3869,286.14
2017-09-24,3703.04065,282.6
2017-09-25,3942.555,294.89
2017-09-26,3910.3073833333333,288.64
2017-09-27,4202.554983333333,309.97
2017-09-28,4201.98905,302.77
2017-09-29,4193.574666666666,292.58
2017-09-30,4335.368316666667,302.77
2017-10-01,4360.722966666667,303.95
2017-10-02,4386.88375,296.81
2017-10-03,4293.3066,291.81
2017-10-04,4225.175,291.68
2017-10-05,4338.852,294.99
2017-10-06,4345.6033333333335,308.33
2017-10-07,4376.191666666667,311.26
2017-10-08,4602.280883333334,309.49
2017-10-09,4777.967816666666,296.95
